targa,cliente_id,marca,modello,versione,motore,telaio,data_immatricolazione,data_revisione,note,raw_promek
EC408ZT,3eabb357-122f-4d12-b328-40ef1c531523,MERCEDES-BENZ,Sprinter 4ªs.(W906),Sprinter Tp37/35 416 CDI Cabinato,651957,WDB9062551N444324,2010-05-25,2021-01-27,,"{""marca_orig"": ""MERCEDES-BENZ"", ""modello_orig"": ""Sprinter 4ªs.(W906)"", ""versione_orig"": ""Sprinter Tp37/35 416 CDI Cabinato""}"
EC410KH,0a1147c9-c23f-46ac-a0be-dffcb6a04974,FIAT,Ducato (4ª serie),Ducato 30 2.3 MJT PC-TN Furgone,F1AE0481D,ZFA25000001808269,2010-06-15,2018-07-06,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Ducato (4ª serie)"", ""versione_orig"": ""Ducato 30 2.3 MJT PC-TN Furgone""}"
EC425PC,d3df040a-adfb-4e95-8d0e-d1829c1dfbe7,FIAT,Ducato,33 2.3 Multijet LH3 Gran Volume X,F1AE0481D,ZFA25000001752645,2010-05-24,2014-11-07,,"{""marca_orig"": ""Fiat"", ""modello_orig"": ""Ducato"", ""versione_orig"": ""33 2.3 Multijet LH3 Gran Volume X""}"
EC435AN,54a0d0ca-cc59-4ac5-ac2b-99263600569c,CITROËN,C4 Grand Picasso,1.8,EW7A,VF7UA6FYC9J364550,2010-03-31,2018-09-07,,"{""marca_orig"": ""Citroën"", ""modello_orig"": ""C4 Grand Picasso"", ""versione_orig"": ""1.8""}"
EC436FM,fbf91ead-48eb-4649-a3c2-7229a52a11c2,VOLKSWAGEN,Polo 5ª serie,1.2 (51Kw) Ber. 5p/b/1198cc,"CGPA,CGP",WVWZZZ6RZAU043999,2010-08-25,2018-08-07,,"{""marca_orig"": ""VOLKSWAGEN"", ""modello_orig"": ""Polo 5ª serie"", ""versione_orig"": ""1.2 (51Kw) Ber. 5p/b/1198cc""}"
EC490MX,95e5ce41-c54a-4093-86fc-a8b19dc6c04e,VOLKSWAGEN,Golf 6ª serie,Golf 2.0 TDI 140 CV 5p. Highline,"CBAB,CBA",WVWZZZ1KZBP014524,2010-07-07,2019-03-16,,"{""marca_orig"": ""VOLKSWAGEN"", ""modello_orig"": ""Golf 6ª serie"", ""versione_orig"": ""Golf 2.0 TDI 140 CV 5p. Highline""}"
EC491MS,d3a37fa5-77ae-4f9d-9378-3a30444a7da2,CITROËN,C3,1.4,TU3AE5,VF7SCKFT0AA604275,2010-07-14,,,"{""marca_orig"": ""Citroën"", ""modello_orig"": ""C3"", ""versione_orig"": ""1.4""}"
EC507ZN,0ad115d7-78ac-4048-8d04-4392413fa6f3,FIAT,Doblò 3ª serie,Doblò 1.6 MJT Active,198A3000,ZFA26300009033746,2010-07-23,2023-03-17,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Doblò 3ª serie"", ""versione_orig"": ""Doblò 1.6 MJT Active""}"
EC520AP,b4cff0c8-89da-4c1a-b5e8-cd298c1babe1,ALFA ROMEO,MiTo,MiTo 1.4 105 CV M.air S&S Progression,"955A6000,199A6000",ZAR95500001112474,2010-04-30,2024-06-29,,"{""marca_orig"": ""ALFA ROMEO"", ""modello_orig"": ""MiTo"", ""versione_orig"": ""MiTo 1.4 105 CV M.air S&S Progression""}"
EC530AN,a33eea34-2c87-40fa-8762-d9406bda97f1,PEUGEOT,3008 1ª serie,3008 1.6 HDi 110 CV Premium,"9HZ,DV6TED4",VF30U9HZHAS071611,2010-04-09,2018-04-17,,"{""marca_orig"": ""PEUGEOT"", ""modello_orig"": ""3008 1ª serie"", ""versione_orig"": ""3008 1.6 HDi 110 CV Premium""}"
EC535EB,3d304468-1b00-445e-958b-5a100cb8a761,RENAULT,Trafic 3ª serie,Trafic T27 2.0 dCi/115 PC-TN Furg.Gener.,"M9RM7,M9RE7,M9R782,M9R780",VF1FLAHA6AV372317,2010-03-25,2020-05-04,,"{""marca_orig"": ""RENAULT"", ""modello_orig"": ""Trafic 3ª serie"", ""versione_orig"": ""Trafic T27 2.0 dCi/115 PC-TN Furg.Gener.""}"
EC535LW,54a0d0ca-cc59-4ac5-ac2b-99263600569c,OPEL,Astra,1.6,Z16XER,WOLOAHL35A2084642,2010-05-18,,,"{""marca_orig"": ""Opel"", ""modello_orig"": ""Astra"", ""versione_orig"": ""1.6""}"
EC597MT,b9a342e7-303f-4b2f-add2-633f600a3dd8,VOLVO,XC60 (2008-2018),XC60 D3 AWD Geartronic Kinetic,"D5244T16,D5244T17,D5244T5",YV1DZ8056B2141021,2010-07-02,2018-07-27,,"{""marca_orig"": ""VOLVO"", ""modello_orig"": ""XC60 (2008-2018)"", ""versione_orig"": ""XC60 D3 AWD Geartronic Kinetic""}"
EC606ED,30ceb65f-8c73-40e2-98d5-043f33dd60c1,AUDI,A3,1.6 TDi,CAYB,WAUZZZ8P0AA099835,2010-03-30,2016-04-01,,"{""marca_orig"": ""Audi"", ""modello_orig"": ""A3"", ""versione_orig"": ""1.6 TDi""}"
EC608YS,75ad09c3-e5b2-4dfe-a7f2-6c0819b2d3fc,FIAT,500 (2007-2016),500 C 1.3 MJT 75 CV Lounge,"M73,169A1000",ZFA31200000540247,2010-06-21,2020-08-03,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""500 (2007-2016)"", ""versione_orig"": ""500 C 1.3 MJT 75 CV Lounge""}"
EC651ZG,2ce8ccd3-b50e-44d0-a6fa-caeb2c02efd6,OPEL,Corsa 4ª serie,Corsa 1.2 5p. Club,A12XER,W0L0SDL68A4275067,2010-06-18,2024-06-17,,"{""marca_orig"": ""OPEL"", ""modello_orig"": ""Corsa 4ª serie"", ""versione_orig"": ""Corsa 1.2 5p. Club""}"
EC677GS,53df8753-1642-458c-8964-0ecd9542de09,OPEL,Movano 3ª serie,Movano 35 2.5CDTI/120CV PM-TM Furgone,"G9U650,G9UA6",VN1F9CYH639869387,2010-06-17,2020-10-19,,"{""marca_orig"": ""OPEL"", ""modello_orig"": ""Movano 3ª serie"", ""versione_orig"": ""Movano 35 2.5CDTI/120CV PM-TM Furgone""}"
EC725JJ,b38a1b2c-e582-4b0d-99ab-00ee1fa7ae4c,SKODA,Yeti,Yeti 2.0 TDI CR 110 CV 4x4 Adventure,"CFH,CFHF",TMBLC75L6A6029842,2010-04-22,2018-06-04,,"{""marca_orig"": ""SKODA"", ""modello_orig"": ""Yeti"", ""versione_orig"": ""Yeti 2.0 TDI CR 110 CV 4x4 Adventure""}"
EC741MX,ce1b3497-75b4-4294-9caf-943b6f969221,FIAT,Scudo (2006-2016),Scudo 2.0MJT PC-TN Furg. 10q Comfort,RHK,ZFA27000064281745,2010-07-21,2022-09-14,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Scudo (2006-2016)"", ""versione_orig"": ""Scudo 2.0MJT PC-TN Furg. 10q Comfort""}"
EC767AN,0f9a4728-99ac-4ce1-bf36-e5659a65af00,VOLKSWAGEN,Golf 6ª serie,Golf 1.4 TSI 160 CV DSG 5p. Highline,"CAVD,CAV",WVWZZZ1KZAP135911,2010-04-06,2022-05-04,,"{""marca_orig"": ""VOLKSWAGEN"", ""modello_orig"": ""Golf 6ª serie"", ""versione_orig"": ""Golf 1.4 TSI 160 CV DSG 5p. Highline""}"
EC775MX,39811382-987a-4ab0-abe0-e3d9c6e301fc,HONDA,CR-V 3ª serie 10-12,2.2 i-DTEC SUV 5p/d/2199cc,N22B3,SHSRE6770AU007874,2010-07-12,2014-07-10,,"{""marca_orig"": ""HONDA"", ""modello_orig"": ""CR-V 3ª serie 10-12"", ""versione_orig"": ""2.2 i-DTEC SUV 5p/d/2199cc""}"
EC814MR,7e06a209-e2f4-4dc1-853f-aaaac2cf07e9,OPEL,Corsa,1.2,A12XER,W0L0SDL08A6062086,2010-05-18,2016-05-26,,"{""marca_orig"": ""Opel"", ""modello_orig"": ""Corsa"", ""versione_orig"": ""1.2""}"
EC830MP,0c382183-6dd2-455c-a210-d162ef471071,VOLKSWAGEN,Tiguan 1ª serie,Tiguan 2.0 TDI 4MOTION Trend & Fun,"CBA,CBAB",WVGZZZ5NZAW100025,2010-05-11,2018-09-01,,"{""marca_orig"": ""VOLKSWAGEN"", ""modello_orig"": ""Tiguan 1ª serie"", ""versione_orig"": ""Tiguan 2.0 TDI 4MOTION Trend & Fun""}"
EC874EG,da0e6da0-1f42-430c-a330-cb2c585a6450,LAND ROVER,Freelander,2.2 TD,224DT,SALFA2DC5AH175704,2010-06-03,,,"{""marca_orig"": ""Land-Rover"", ""modello_orig"": ""Freelander"", ""versione_orig"": ""2.2 TD""}"
EC892JK,4f7d3099-ac4f-4aac-9b98-fc2e3338d58d,MINI,Mini          (R56),Mini One (72 kW),"N16B16U0,N16B16A",WMWSR31000TN94793,2010-04-30,2022-09-05,,"{""marca_orig"": ""MINI"", ""modello_orig"": ""Mini          (R56)"", ""versione_orig"": ""Mini One (72 kW)""}"
EC904YM,54a0d0ca-cc59-4ac5-ac2b-99263600569c,AUDI,A4,2.0 TDi,CAGA,WAUZZZ8K39A005253,2008-12-18,,,"{""marca_orig"": ""Audi"", ""modello_orig"": ""A4"", ""versione_orig"": ""2.0 TDi""}"
EC908AN,70d96be5-7e53-41fb-a1c0-a3303f37ba4b,RENAULT,Twingo 2ª serie,Twingo 1.2 8V Sport & Sound,"DF7A8,D4F800",VF1CN0D0542732965,2010-04-06,2024-02-19,,"{""marca_orig"": ""RENAULT"", ""modello_orig"": ""Twingo 2ª serie"", ""versione_orig"": ""Twingo 1.2 8V Sport & Sound""}"
EC943TF,9a762226-73bd-4884-b9c4-bd9ef71df960,FORD,Fiesta 6ª serie,Fiesta+ 1.4 TDCi 68 CV 5p.,F6JD,WF0JXXGAJJAS74648,2010-07-28,2023-09-04,,"{""marca_orig"": ""FORD"", ""modello_orig"": ""Fiesta 6ª serie"", ""versione_orig"": ""Fiesta+ 1.4 TDCi 68 CV 5p.""}"
EC955GM,131daf49-ba89-47f4-bd4f-a572151429c9,CITROËN,C3 2ª serie,C3 1.4 Ideal,"TU3AE5,KFT",VF7SCKFT0AW535765,2010-06-22,2024-06-11,,"{""marca_orig"": ""CITROËN"", ""modello_orig"": ""C3 2ª serie"", ""versione_orig"": ""C3 1.4 Ideal""}"
EC965WY,ac485912-9fef-491a-8c63-dd7fa9adf816,CITROËN,C3,1.4,TU3AE5,VF7SCKFT0AA520039,2010-09-30,2014-09-25,,"{""marca_orig"": ""Citroën"", ""modello_orig"": ""C3"", ""versione_orig"": ""1.4""}"
EC976MW,11af92b7-1986-4d95-a864-2001b54680d8,BMW,Serie 5   (F10/F11),530d,N57D30A,WBAFW51000C509117,2010-06-30,2018-06-21,,"{""marca_orig"": ""BMW"", ""modello_orig"": ""Serie 5   (F10/F11)"", ""versione_orig"": ""530d""}"
EC977YW,7ec5408d-e865-4e00-abec-4e9ad0e03233,FORD,Focus 2ª s. 08-11,Focus 1.6 TDCi 90CV SW Tit.,HHDA,WF0SXXGCDS9E02333,2010-07-30,2020-05-18,,"{""marca_orig"": ""FORD"", ""modello_orig"": ""Focus 2ª s. 08-11"", ""versione_orig"": ""Focus 1.6 TDCi 90CV SW Tit.""}"
ED004TG,303cc5e9-43f0-4d41-a68a-891f9fd661de,OPEL,Insignia,,,W0LGT5EMXA1119165,2010-07-13,2020-08-04,,"{""marca_orig"": ""OPEL"", ""modello_orig"": ""Insignia""}"
ED014ND,9e4455a3-d9f6-4102-b672-f5f60650fef7,FIAT,Punto Evo,Punto Evo 1.3 Mjt 90 CV 5p. Dynamic,199A3000,ZFA19900000687949,2010-08-31,2022-09-30,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Punto Evo"", ""versione_orig"": ""Punto Evo 1.3 Mjt 90 CV 5p. Dynamic""}"
ED023XW,556685ca-c668-4ce3-b184-b60ff7cd454f,FIAT,500,0.9 Twin Air Turbo,312A2000,ZFA31200000570335,2010-08-23,2017-03-01,,"{""marca_orig"": ""Fiat"", ""modello_orig"": ""500"", ""versione_orig"": ""0.9 Twin Air Turbo""}"
ED040TK,02080506-2c48-403a-9508-4423adb2c8a2,FIAT,500 (2007-2016),500 1.2 Pop,"M812,169A4000",ZFA31200000554998,2010-09-22,2022-09-14,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""500 (2007-2016)"", ""versione_orig"": ""500 1.2 Pop""}"
ED056WY,272015f9-1907-4ec0-a753-5bd122d05b04,OPEL,Vivaro,2.0 CDTi,M9R780,WOLF7AHA6BV601491,2010-09-22,,,"{""marca_orig"": ""Opel"", ""modello_orig"": ""Vivaro"", ""versione_orig"": ""2.0 CDTi""}"
ED087GS,0145944d-1dde-45a3-af63-94c04f4b1464,FIAT,Panda,1.2 Dynamic,188A4000,ZFA16900001522908,2009-08-08,2015-08-05,,"{""marca_orig"": ""Fiat"", ""modello_orig"": ""Panda"", ""versione_orig"": ""1.2 Dynamic""}"
ED101PA,242ed81c-5d87-4b0d-a1f8-38a5a8dad757,LANCIA,Ypsilon,1.2,188A4000,ZLA84300003308581,2010-06-29,2014-06-11,,"{""marca_orig"": ""Lancia"", ""modello_orig"": ""Ypsilon"", ""versione_orig"": ""1.2""}"
ED102NW,2213d491-3753-4135-9f20-8416c4e5811d,FIAT,Idea,1.2 16V,188A5000,ZFA35000000202741,2010-06-23,2019-08-22,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Idea"", ""versione_orig"": ""1.2 16V""}"
ED169JX,d3df040a-adfb-4e95-8d0e-d1829c1dfbe7,CHEVROLET,Captiva,2.0 VCDi (AWD),Z20S,KL1CG26RJ9B264968,2010-10-14,2016-09-06,,"{""marca_orig"": ""Chevrolet"", ""modello_orig"": ""Captiva"", ""versione_orig"": ""2.0 VCDi (AWD)""}"
ED178ML,3754ffb3-8765-49b7-b1c3-59d33082f7ec,IVECO,Daily (2011-2014),Daily 35C11 BTor 2.3 HPT PC-RG Cabinato,"F1AFL411A,F1AFL411AA",ZCFC3571305847876,2010-11-16,2018-11-13,,"{""marca_orig"": ""IVECO"", ""modello_orig"": ""Daily (2011-2014)"", ""versione_orig"": ""Daily 35C11 BTor 2.3 HPT PC-RG Cabinato""}"
ED224NC,b96add4d-e7cb-42a7-af8f-d4f0c977cce2,MERCEDES-BENZ,Classe B,B180 2.0 CDi Elegance,640940,WDD2452071J555721,2010-02-01,2016-06-20,,"{""marca_orig"": ""Mercedes"", ""modello_orig"": ""Classe B"", ""versione_orig"": ""B180 2.0 CDi Elegance""}"
ED280GN,54a0d0ca-cc59-4ac5-ac2b-99263600569c,FORD,Fiesta 6ª serie,Fiesta+ 1.4 TDCi 68 CV 3p.,F6JD,WF0GXXGAJGAJ39796,2010-06-30,2018-06-30,,"{""marca_orig"": ""FORD"", ""modello_orig"": ""Fiesta 6ª serie"", ""versione_orig"": ""Fiesta+ 1.4 TDCi 68 CV 3p.""}"
ED316HZ,fb93e009-631e-479a-808e-e367a5ad96b9,AUDI,A4,2.0 TDI,CAGA,WAUZZZ8K8BA006601,2010-07-08,2018-08-08,,"{""marca_orig"": ""Audi"", ""modello_orig"": ""A4"", ""versione_orig"": ""2.0 TDI""}"
ED321SJ,f11e6606-3b71-41b6-ac8e-028a2c5830e3,FIAT,500 (2007-2016),500 1.3 MJT 75CV Pop,"169A1000,M73",ZFA31200000553191,2010-08-26,2018-11-07,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""500 (2007-2016)"", ""versione_orig"": ""500 1.3 MJT 75CV Pop""}"
ED349TH,31e6d088-7139-4561-8282-e608c6cfae44,LANCIA,Ypsilon 2ª serie,1.2 Ber. 3p/b/1242cc,188A4000,ZLA84300003320253,2010-09-10,,,"{""marca_orig"": ""LANCIA"", ""modello_orig"": ""Ypsilon 2ª serie"", ""versione_orig"": ""1.2 Ber. 3p/b/1242cc""}"
ED353XB,80a7cb8a-0e50-422e-8d69-c1a5e81d04cb,PEUGEOT,Partner 2ª serie,Partner Tepee Mix 1.6HDI 92 Premium,"DV6DTED,9HP",VF37N9HP0AJ826869,2010-11-16,2022-11-28,,"{""marca_orig"": ""PEUGEOT"", ""modello_orig"": ""Partner 2ª serie"", ""versione_orig"": ""Partner Tepee Mix 1.6HDI 92 Premium""}"
ED364NE,f7e1a6e3-ed68-46d2-ba01-2a4a11e18a34,DACIA,Sandero 1ª serie,Sandero 1.4 8V,"K7J714,K7JA7",UU1BSDMER43927134,2010-10-26,2018-10-24,,"{""marca_orig"": ""DACIA"", ""modello_orig"": ""Sandero 1ª serie"", ""versione_orig"": ""Sandero 1.4 8V""}"
ED368TH,79b8ce63-9eed-4402-8c45-e1985ea793ae,LANCIA,Ypsilon,1.4 GPL,350A1000,ZLA84300003320337,2010-09-24,2016-09-19,,"{""marca_orig"": ""Lancia"", ""modello_orig"": ""Ypsilon"", ""versione_orig"": ""1.4 GPL""}"
ED398XA,7fe4ede7-db12-41f1-96c4-b7d4fe067fe3,AUDI,A3,2.0 TDi,BKD,WAUZZZ8P4BA032236,2010-10-06,2014-10-08,,"{""marca_orig"": ""Audi"", ""modello_orig"": ""A3"", ""versione_orig"": ""2.0 TDi""}"
ED402ZT,4bbf22de-290a-42e4-b8c5-58aaf0d48d9f,LANCIA,Ypsilon,1.3 JTD Multijet Platino,199A2000,ZLA84300003335314,2011-02-25,2015-02-25,,"{""marca_orig"": ""Lancia"", ""modello_orig"": ""Ypsilon"", ""versione_orig"": ""1.3 JTD Multijet Platino""}"
ED434GS,417d2b40-3300-4eaf-a579-b196e9ea7e49,FIAT,Scudo (2006-2016),Scudo 2.0MJT PC-TN Furg. 12q Comfort,RHK,ZFA27000064272752,2010-10-12,2020-10-12,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Scudo (2006-2016)"", ""versione_orig"": ""Scudo 2.0MJT PC-TN Furg. 12q Comfort""}"
ED442BR,131294f2-c4ec-4b8e-8037-71f8a115afe5,AUDI,A3 2ª serie,,,WAUZZZ8P0BA013117,2010-07-09,2018-07-23,,"{""marca_orig"": ""AUDI"", ""modello_orig"": ""A3 2ª serie""}"
ED468GN,8dbf4120-ba5d-483d-bfc7-e6b36b73f27a,RENAULT,Trafic 3ª serie,Trafic T27 2.5 dCi/150 PC-TN Fur.Gen.DPF,"G9UB6,G9U630",VF1FLAJA6AY348692,2010-07-13,2019-04-19,,"{""marca_orig"": ""RENAULT"", ""modello_orig"": ""Trafic 3ª serie"", ""versione_orig"": ""Trafic T27 2.5 dCi/150 PC-TN Fur.Gen.DPF""}"
ED471NE,831d2758-27c3-47fd-84ae-04ffa5a81492,NISSAN,Qashqai 1ª serie,Qashqai 1.5 dCi DPF Visia,K9K,SJNFCAJ10U2135753,2010-10-19,2016-10-06,,"{""marca_orig"": ""NISSAN"", ""modello_orig"": ""Qashqai 1ª serie"", ""versione_orig"": ""Qashqai 1.5 dCi DPF Visia""}"
ED473GP,5799eb4d-2464-42c9-af55-a94cc3b7ed88,FORD,Trans/Tour/Bus 2000,Transit 350 2.4 TDCi/137 PL-TM Combi,H9FA,,2010-11-23,2024-11-28,,"{""marca_orig"": ""FORD"", ""modello_orig"": ""Trans/Tour/Bus 2000"", ""versione_orig"": ""Transit 350 2.4 TDCi/137 PL-TM Combi""}"
ED486TL,0011260a-d520-49fc-b84a-de91965d37a3,OPEL,Zafira 2ª serie,Zafira 1.9 CDTI 120 CV Enjoy,Z19DT,W0L0AHM759G057416,2010-08-13,2022-07-28,,"{""marca_orig"": ""OPEL"", ""modello_orig"": ""Zafira 2ª serie"", ""versione_orig"": ""Zafira 1.9 CDTI 120 CV Enjoy""}"
ED511GT,5739b70c-bd9d-4127-8d34-89c63e7966cd,HONDA,Jazz,1.2 i-Vtec,L12B2,LUCGG2750A3201455,2010-11-24,,,"{""marca_orig"": ""Honda"", ""modello_orig"": ""Jazz"", ""versione_orig"": ""1.2 i-Vtec""}"
ED571BA,b4138940-1de7-4b41-a0cd-e54b5562edf3,FIAT,Doblò 3ª serie,Doblò 1.6 MJT Active,198A3000,ZFA26300009010500,2010-09-23,2018-09-24,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Doblò 3ª serie"", ""versione_orig"": ""Doblò 1.6 MJT Active""}"
ED579ZD,e3d57bc1-e43d-4a62-80dc-eefcf4451c6e,FIAT,Bravo,1.6 JTD,198A2000,ZFA19800004308162,2010-09-30,2014-09-26,,"{""marca_orig"": ""Fiat"", ""modello_orig"": ""Bravo"", ""versione_orig"": ""1.6 JTD""}"
ED584YJ,2838df50-dda9-4b7f-babf-95bd1671fa7f,FIAT,500 (2007-2016),500 1.2 Pop,"169A4000,M812",ZFA31200000584555,2010-09-30,2019-07-24,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""500 (2007-2016)"", ""versione_orig"": ""500 1.2 Pop""}"
ED591GM,2de12700-6e69-4f4f-9534-f82cfde092e0,PEUGEOT,Bipper,Bipper 1.4 HDi 70CV Furgone,"DV4TED,8HS",VF3AA8HSCA8043569,2010-07-14,2022-08-24,,"{""marca_orig"": ""PEUGEOT"", ""modello_orig"": ""Bipper"", ""versione_orig"": ""Bipper 1.4 HDi 70CV Furgone""}"
ED616WH,5c14aab6-8551-4e4d-8a82-fd09a3819c54,NISSAN,NV200,1.5 dCi,K9K,JN1HBAM20U0000294,2010-10-29,,,"{""marca_orig"": ""Nissan"", ""modello_orig"": ""NV200"", ""versione_orig"": ""1.5 dCi""}"
ED630GC,2f2fd28b-84ee-44b7-9d60-1b58d3bd6341,ALFA ROMEO,Giulietta (2010-21),Giulietta 2.0 JTDm-2 170 CV Progression,940A4000,ZAR94000007008637,2010-06-11,2022-04-12,,"{""marca_orig"": ""ALFA ROMEO"", ""modello_orig"": ""Giulietta (2010-21)"", ""versione_orig"": ""Giulietta 2.0 JTDm-2 170 CV Progression""}"
ED643DF,c61dd508-d054-44da-a9af-bbbdf6261cd5,RENAULT,Clio 3ª serie,Clio 1.2 TCE 100 CV 3p. Luxe,"D4FH7,D4F784",VF1CRC40H43740314,2010-06-30,2020-05-27,,"{""marca_orig"": ""RENAULT"", ""modello_orig"": ""Clio 3ª serie"", ""versione_orig"": ""Clio 1.2 TCE 100 CV 3p. Luxe""}"
ED654GT,3eb18a7a-4963-40ee-99a2-09a9fb5bbe09,FIAT,500 (2007-2016),1.2 Ber. 3p/b/1242cc,"M812,169A4000",ZFA31200000546708,2010-06-23,2014-09-30,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""500 (2007-2016)"", ""versione_orig"": ""1.2 Ber. 3p/b/1242cc""}"
ED663VV,535e41a3-1923-4060-8368-88d5723ec11b,MITSUBISHI,L200 (2006-2015),L200 2.5 DI-D/136CV Double Cab Invite,"4D566FAL,4D5668JL,4D56",MMCJNKB40BD011351,2011-04-06,2024-02-23,,"{""marca_orig"": ""MITSUBISHI"", ""modello_orig"": ""L200 (2006-2015)"", ""versione_orig"": ""L200 2.5 DI-D/136CV Double Cab Invite""}"
ED675XS,38aeb875-c2c2-4fad-895c-689b3b42286c,FIAT,Grande Punto,Grande Punto 1.2 5p. Actual,199A4000,ZFA19900001690411,2010-07-30,2018-07-28,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Grande Punto"", ""versione_orig"": ""Grande Punto 1.2 5p. Actual""}"
ED686CM,54a0d0ca-cc59-4ac5-ac2b-99263600569c,VOLKSWAGEN,Touran,1.9 TDi,BLS,WVGZZZ1TZAW091228,2010-07-26,2016-07-28,,"{""marca_orig"": ""Volkswagen"", ""modello_orig"": ""Touran"", ""versione_orig"": ""1.9 TDi""}"
ED690AT,29b7e615-c1a2-4653-9ac8-6d2a9eb71c3c,FIAT,Ducato,33 2.3 Multijet LH3 Gran Volume X,F1AE0481D,ZFA25000001774242,2010-07-06,2016-07-19,,"{""marca_orig"": ""Fiat"", ""modello_orig"": ""Ducato"", ""versione_orig"": ""33 2.3 Multijet LH3 Gran Volume X""}"
ED693GT,54a0d0ca-cc59-4ac5-ac2b-99263600569c,AUDI,Q5 1ª serie,Q5 2.0 TDI 170 CV quattro S tronic,"CGL,CGLB",WAUZZZ8R2BA037064,2010-11-19,2018-07-24,,"{""marca_orig"": ""AUDI"", ""modello_orig"": ""Q5 1ª serie"", ""versione_orig"": ""Q5 2.0 TDI 170 CV quattro S tronic""}"
ED713AL,da0cb6c7-c611-40e8-b141-4d3485a105b1,PEUGEOT,Boxer (3ª serie),Boxer 435 3.0 HDi/145CV PLM-TA Furgone,"F30DT,F1CE3481N",VF3YCDMAB11284687,2008-02-13,2022-02-23,,"{""marca_orig"": ""PEUGEOT"", ""modello_orig"": ""Boxer (3ª serie)"", ""versione_orig"": ""Boxer 435 3.0 HDi/145CV PLM-TA Furgone"", ""altro"": ""115 Kw Ribaltabile""}"
ED735WP,54a0d0ca-cc59-4ac5-ac2b-99263600569c,BMW,Serie 3   (E90/E91),320d Touring Eletta,N47D20C,,2010-07-15,2020-07-15,,"{""marca_orig"": ""BMW"", ""modello_orig"": ""Serie 3   (E90/E91)"", ""versione_orig"": ""320d Touring Eletta""}"
ED766NB,4081bc94-2bc0-452e-a6af-cf10ed37d7ea,PEUGEOT,206,,,VF32M8HZAAY063402,2010-07-15,2018-07-03,,"{""marca_orig"": ""PEUGEOT"", ""modello_orig"": ""206""}"
ED767FL,7e72571f-b91a-4f9c-ad43-4e8f9c1266eb,FIAT,Bravo 2ª serie,Bravo 1.6 MJT 120 CV Active,198A2000,ZFA19800004300227,2010-07-07,2022-01-05,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Bravo 2ª serie"", ""versione_orig"": ""Bravo 1.6 MJT 120 CV Active""}"
ED803SJ,8963e2b7-3d90-4dbc-82c1-d561ad282ec8,OPEL,Vivaro 2ª serie,Vivaro 29 2.0i PL-TN Furgone,"F4RH8,F4R820",W0LF7BHB6BV600636,2010-08-05,2021-01-18,,"{""marca_orig"": ""OPEL"", ""modello_orig"": ""Vivaro 2ª serie"", ""versione_orig"": ""Vivaro 29 2.0i PL-TN Furgone""}"
ED831GT,fb2243b4-7f7b-4b03-aa49-59d9c0a81e67,PEUGEOT,5008,1.6 HDi,DV6TED4,VF30E9HZHAS253735,2010-11-15,2014-11-11,,"{""marca_orig"": ""Peugeot"", ""modello_orig"": ""5008"", ""versione_orig"": ""1.6 HDi""}"
ED833VG,742065b0-a9d2-4b04-9b0e-b90c0c0634cf,CITROËN,Jumper (3ª serie),Jumper 35 2.2 HDi/120 PC-TN Furgone,"4HY,22DT",VF7ZBRMNB17210795,2003-01-01,2019-01-10,,"{""marca_orig"": ""CITROËN"", ""modello_orig"": ""Jumper (3ª serie)"", ""versione_orig"": ""Jumper 35 2.2 HDi/120 PC-TN Furgone""}"
ED879GV,40d7cc90-39b7-4d88-befa-bdab0938f80f,PEUGEOT,607,2.7 HDi FAP aut. Titanio,DT17TED4,VF39UUHZJ92241068,2010-07-15,2018-09-27,,"{""marca_orig"": ""PEUGEOT"", ""modello_orig"": ""607"", ""versione_orig"": ""2.7 HDi FAP aut. Titanio""}"
ED903XA,5194e5ca-160d-4901-9250-a980aa61b6fc,MINI,Mini,1.4,N12B14A,ZLPME31070TX26629,2010-09-30,2016-10-24,,"{""marca_orig"": ""Mini"", ""modello_orig"": ""Mini"", ""versione_orig"": ""1.4"", ""altro"": ""MINI""}"
ED927EA,3e58c283-74cf-435f-8a29-8ec46cd7207c,RENAULT,Trafic,2.0 DCi,M9R780,VF1JLBHA6AV385866,2010-06-23,2018-07-27,,"{""marca_orig"": ""Renault"", ""modello_orig"": ""Trafic"", ""versione_orig"": ""2.0 DCi""}"
ED938WY,b3792cfc-9656-4e26-b3b7-fa8aac313995,FIAT,Fiorino,1.3 Multijet,199A2000,ZFA22500000175186,2010-10-13,2016-11-22,,"{""marca_orig"": ""Fiat"", ""modello_orig"": ""Fiorino"", ""versione_orig"": ""1.3 Multijet""}"
